問題,元の過去問,回答,他の選択肢,他の選択肢,他の選択肢
利用者がいつもログインに使っているPCとは異なるPCからのログインであったので、本人しか知らない秘密の質問による追加の認証を行った,R8071,リスクベース認証,セッションタイムアウト,アカウントロック,パスワードポリシー
利用者がログインした後に、操作画面が一定時間なかったので、自動的にログアウトして、再度ログインを求めた,R8071,セッションタイムアウト,アカウントロック,パスワードポリシー,リスクベース認証
利用者がログインする時にパスワードを連続して複数回間違って入力したので、アカウントをロックした,R8071,アカウントロック,パスワードポリシー,リスクベース認証,セッションタイムアウト
利用者がログインに使っているパスワードが長時間変更されていなかったので、パスワードの変更を促した,R8071,パスワードポリシー,リスクベース認証,セッションタイムアウト,アカウントロック
通信可能な範囲が無線LANに比べて広く、消費する電力が第4世代移動通信規格(4G)に比べて少ない,R8076,LPWA,,,
IoTデバイスとIoTサーバで構成され、IoTデバイスが計測した外気温をIoTサーバへ送り、IoTサーバからの指示でIoTデバイスが窓を開閉するシステムがある。このシステムのIoTデバイスに搭載された、外気温を電気信号に変換する役割をもつもの,R8078,センサー,アクチュエーター,エッジコンピューティング,キャリアアグリゲーション
Bluetoothの規格に含まれ、デバイス間の省電力通信を実現させるもの,R8081,BLE,LPWA,LTE,PLC
各ノードの重みを調整して、誤差を小さくする,R8082,バックプロパゲーション,,,
各ノードの重みを調整して、誤差を小さくする,R8082,誤差逆伝播,,,
PCやスマートフォンなどからネットワーク経由で利用できるように、ネットワークに直接接続して使用する外部記憶装置,R8087,NAS,ランダムアクセス,RAID,SSID
記憶媒体上のデータの位置や書き込み順序に関係なく、求めるデータに直接アクセスできるファイル形式,R8087,ランダムアクセス,RAID,SSID,NAS
複数の記憶装置を1台の装置として管理し、データを分散して格納することによってアクセスの高速化や耐障害性の向上を図る技術,R8087,RAID,SSID,NAS,ランダムアクセス
無線LANのネットワークを識別するために用いられる文字列,R8087,SSID,NAS,ランダムアクセス,RAID
電子照明の正当性を認証局が保証する方法,R8090,PKI,,,
被災によるシステム障害が発生してもサービスを継続できるように、遠隔地にバックアップシステムを用意する,R8094,物理的セキュリティ,人的セキュリティ,技術的セキュリティ,-
機密情報の取り扱いに関して、罰則を含めた規定を制定し、これを遵守させるために、関係者に定期的な教育を実施する,R8094,人的セキュリティ,技術的セキュリティ,物理的セキュリティ,-
ますます方法が巧妙化されるサイバー攻撃による被害を防ぐために、サイバー攻撃の方法や対策に関する情報を従業員に周知する,R8094,人的セキュリティ,技術的セキュリティ,物理的セキュリティ,-
マルウェアによる被害を防ぐために、マルウェア対策ソフトを導入し、定義ファイルを常に最新に保つ,R8094,技術的セキュリティ,物理的セキュリティ,人的セキュリティ,-
SQLインジェクションの対策などで用いられ、処理の誤動作を招かないように、利用者がWebサイトに入力した内容に含まれる有害な文字列を無害な文字列に置き換えること,R8095,サニタイジング,MACアドレスフィルタリング,ストライピング,ソーシャルエンジニアリング
機密情報の取得などを目的として、特定の組織や個人に対して、複数の攻撃手法を使うなどして長期間にわたり継続的に攻撃を行う,R8096,APT攻撃,DDoS攻撃,ゼロデイ攻撃,パスワードリスト攻撃
"意図した回答を得るためにAIに対する質問や指示の内容,情報の提供,出力形式の指定などを工夫すること",R8098,プロンプトエンジニアリング,機械学習,シグニファイア,ニューラルネットワーク
AIが、多数の事象がデータから普遍的なルールや知識を獲得すること,R8098,機械学習,シグニファイア,ニューラルネットワーク,プロンプトエンジニアリング
AIに対する質問や指示などが入力できる状態であることを、画面上に企業や文字列で示すこと,R8098,シグニファイア,ニューラルネットワーク,プロンプトエンジニアリング,機械学習
神経細胞が作るネットワークをコンピュータで模した、AIで用いられる計算モデルのこと,R8098,ニューラルネットワーク,プロンプトエンジニアリング,機械学習,シグニファイア
情報資産を洗い出し、リスクの特定と分析及び評価を行い、情報資産を管理する,R8100,ISMS,品質マネジメント,ITサービスマネジメント,CMMI
企業のコスト削減や製品の品質、サービスの改善などのために、業務プロセスを改善する,R8100,品質マネジメント,ITサービスマネジメント,CMMI,ISMS
顧客の満足度を高めるために、ITサービスの品質を継続的に改善する,R8100,ITサービスマネジメント,CMMI,ISMS,品質マネジメント
製品とサービスの開発プロセスの成熟度を評価し、改善する,R8100,CMMI,ISMS,品質マネジメント,ITサービスマネジメント
企業倫理に基づき、ルール、マニュアル、チェックシステムなどを整備し、法令や社会規範を遵守した企業活動を行う,H21H001,コンプライアンス経営,コーポレートガバナンス,アカウンタビリティ,ディスクロージャー
株主に対して企業活動の正当性を保持するために、経営管理が適切に行われているかどうかを監視し、点検する,H21H001,コーポレートガバナンス,アカウンタビリティ,ディスクロージャー,コンプライアンス経営
株主やそのほかの利害関係者に対して、経営活動の内容、実績に関する説明責任を負う,H21H001,アカウンタビリティ,ディスクロージャー,コンプライアンス経営,コーポレートガバナンス
投資家やアナリストに対して、投資判断に必要な正確な経営情報を適切に、かつ継続して提供する,H21H001,ディスクロージャー,コンプライアンス経営,コーポレートガバナンス,アカウンタビリティ
商品市場での過当な競争を避け、まだ顧客のニーズが満たされていない市場のすきま、すなわち小さな市場セグメントに焦点を合わせた事業展開で、競争優位を確保しようとする企業戦略,H21H004,ニッチ戦略,プッシュ戦略,ブランド戦略,プル戦略
情報技術を利用して顧客に関する情報を収集、分析し、長期的観点から顧客と良好な関係を築いて自社の顧客として囲い込み、収益の拡大を図る手法,H21H005,CRM,BSC,ERP,PPM
ソフトウェアの機能を複数の企業にインターネット経由でサービスとして提供し、使用料を課金する。,H21H006,SaaS,ホスティングサービス,アウトソーシング,ASP
コンピュータ設備の利用をサービスとして提供し、使用料を課金する,H21H006,ホスティングサービス,アウトソーシング,ASP,SaaS
情報システム部門の機能の一部を受託し、業務委託料を課金する,H21H006,アウトソーシング,ASP,SaaS,ホスティングサービス
ソフトウェアをダウンロードさせる対価としてライセンス料を課金する,H21H006,ASP,SaaS,ホスティングサービス,アウトソーシング
POSシステムなどで商品を一意に識別するために、バーコードとして商品に印刷されたコード,H21H008,JAN,JAS,JIS,QR
日本農林規格,H21H008,JAS,JAN,JIS,QR
日本産業企画,H21H008,JIS,QR,JAN,JAS
プロダクトポートフォリオマネジメントでは、縦軸に市場成長率、横軸に市場占有率をとったマトリックス図を四つの象限に区分し、製品の市場における位置付けを分析して資源分配を検討する。四つの象限の位置、市場成長率は低いが市場占有率を高く保っている製品の位置付け,H21H010,金のなる木,花形製品,負け犬,問題児
システム化の対象となるビジネスの活動やデータの流れを明示したもの,H21H011,業務プロセス,RFP,システム化計画書,RFQ
システム開発を外部委託するときの提案依頼に必要な条件を明示したもの,H21H011,RFP,業務プロセス,システム化計画書,RFQ
システムの開発、運用、保守に必要な組織、資産などを記載したもの,H21H011,システム化計画書,業務プロセス,RFP,RFQ
知識や知見をデータベース化し、ビジネス上で効果的に活用できる,H21H012,サプライチェーンマネジメント,POS,ナレッジマネジメント,CTI
小売り店舗などの商品の販売情報を即時に知ることができる,H21H012,POS,ナレッジマネジメント,CTI,サプライチェーンマネジメント
知識や知見をデータベース化し、ビジネス上で効果的に活用できる,H21H012,ナレッジマネジメント,CTI,サプライチェーンマネジメント,POS
"電話,FAX,電子メールなど多様な手段による顧客からの各種問合せに対し、即時に対応することができる",H21H012,CTI,サプライチェーンマネジメント,POS,ナレッジマネジメント
株式会社の最高意思決定機関,H21H013,株主総会,,,
一会計期間における経営成績を表示したもの,H21H016,損益計算書,キャッシュフロー計算書,賃借対照表,株主資本等変動計算書
一会計期間における現金収支の状況を表示したもの,H21H016,キャッシュフロー計算書,賃借対照表,株主資本等変動計算書,損益計算書
企業の一定時点における財務状況を表示したもの,H21H016,賃借対照表,株主資本等変動計算書,損益計算書,キャッシュフロー計算書
純資産の部の変動額を計算し表示したもの,H21H016,株主資本等変動計算書,損益計算書,キャッシュフロー計算書,賃借対照表
共同作業の場を提供することによって、組織として業務効率を高める,H21H017,グループウェア,デバイスドライバ,UTM,パッケージソフトウェア
"PC,周辺機器などの機器に組み込んで、ハードウェアの基本的な制御を行う",H21H017,デバイスドライバ,UTM,パッケージソフトウェア,グループウェア
ハードウェアとソフトウェアが一体となったセキュリティ製品の導入によって企業におけるインターネット利用のセキュリティを強化する,H21H017,UTM,パッケージソフトウェア,グループウェア,デバイスドライバ
パッケージ化されたソフトウェア群を導入することによって、システムの開発期間の短縮及び保守の効率化を図る,H21H017,パッケージソフトウェア,グループウェア,デバイスドライバ,UTM
現在使っているキャッシュカードで銀行口座からリアルタイムに代金を直接引き落として決済できるもの,H21H018,プリペイドカード,ETCカード,デビットカード,ポイントカード
他者に真似のできない独自のノウハウや技術などに経営資源を集中し、競争優位を確立する,H21H019,コアコンピタンス経営,M&A,最適セールミックス,ベンチマーキング
競合に対して優位に立つために、すでに事業を確立している他社の経営資源を獲得する,H21H019,M&A,最適セールミックス,ベンチマーキング,コアコンピタンス経営
事業の組み合わせの最適化を図り、それぞれの事業を単独で運営する場合よりも大きな効果が得られるようにする,H21H019,最適セールミックス,ベンチマーキング,コアコンピタンス経営,M&A
他社のベストプラクティス(優れた事例)を参考にして、現状の業務プロセスを抜本的に改善・改革する,H21H019,ベンチマーキング,コアコンピタンス経営,M&A,最適セールミックス
企業の業務効率や生産性を改善するために、既存の組織やビジネスルールを全面的に見直して、再構築すること,H21H020,BPR,CRM,バリューチェーン,BSC
顧客のニーズにきめ細かく対応し、顧客の利便性と満足度を高めるために、企業の情報システムを再構築すること,H21H020,CRM,バリューチェーン,BSC,BPR
企業の活動を、長冊、開発、製造、販売、サービスといった側面から捉え、情報システムを再構築すること,H21H020,バリューチェーン,BSC,BPR,CRM
企業の戦略を、四つの視点（財務の視点、顧客の視点、業務プロセスの視点、学習と成長の視点）から再評価し、再構築すること,H21H020,BSC,BPR,CRM,バリューチェーン
企業が活動する際に指針となる基本的な考え方であり、企業の存在意義や価値観などを示したもの,H21H022,経営理念,経営資源,経営戦略,組織文化
企業が競争優位性を構築するために活用する資源であり、一般的に人・物・金・情報で分類されるもの,H21H022,経営資源,経営戦略,組織文化,経営理念
企業の将来の方向を示したビジョンを具現化するための意思決定計画であり、長期・中期・短期の別に策定されるもの,H21H022,経営戦略,組織文化,経営理念,経営資源
企業の持つ個性、固有の企業らしさのことで社風とも呼ばれ、長年の企業活動の中で生み出されて定着してきたもの,H21H022,組織文化,経営理念,経営資源,経営戦略
新たに構築する業務、システムの仕様、及びシステム化の範囲と機能を明確にし、それらをシステム取得者側の利害関係者で合意する,H21H025,要件定義プロセス,企画プロセス,プログラミング,テスト工程
経営事業の目的、目標を立って意するために必要なシステムの要求事項をまとめ、そのシステム化の方針と実現計画を策定する,H21H025,企画プロセス,プログラミング,テスト工程,要件定義プロセス
システム要件とソフトウェア要件を定義し、システム方式とソフトウェア方式を設計して、システム及びソフトウェア製品を構築する,H21H025,プログラミング,テスト工程,要件定義プロセス,企画プロセス
ソフトウェア要件通りにソフトウェアが実現されいることやシステム要件どおりにシステムが実現されていることをテストする,H21H025,テスト工程,要件定義プロセス,企画プロセス,プログラミング
必要なものを、必要なときに、必要な量だけ生産する方式,H21H028,ジャストインタイム生産方式,セル生産方式,受注生産方式,見込み生産方式
一人または数人の作業員が、生産の全肯定を担当する方式,H21H028,セル生産方式,受注生産方式,見込み生産方式,ジャストインタイム生産方式
顧客からの注文を受けてから、生産を開始する方式,H21H028,受注生産方式,見込み生産方式,ジャストインタイム生産方式,セル生産方式
生産開始時の計画に基づき、見込み数量を生産する方式,H21H028,見込み生産方式,ジャストインタイム生産方式,セル生産方式,受注生産方式
製品や市場ごとに社内組織を分割し、利益責任単位として権限と目標が与えられる,H21H029,事業部制組織,アメーバ組織,職能別組織,マトリクス組織
社内組織を小集団に分け、全体を構成する一部の機能として相互作用的に活動させる,H21H029,アメーバ組織,職能別組織,マトリクス組織,事業部制組織
商品企画、購買、製造、営業といった同じ職能を行う単位で、社内組織を分割する,H21H029,職能別組織,マトリクス組織,事業部制組織,アメーバ組織
二つの異なる組織体系に社員が所属することによって必要に応じて業務に柔軟に対処する,H21H029,マトリクス組織,事業部制組織,アメーバ組織,職能別組織
利用者の利便性を向上させるため、トラブルなどの問い合わせに対応する,H21H035,サービスデスク,,,
ITサービスにおいて、合意したサービス時間中に実際にサービスをどれくらい利用できるかを表す用語,H21H039,可用性,応答性,完全性,機密性
サービスの中断時間を最小限に抑えて速やかに回復し、サービスの品質を維持する,H21H040,インシデント管理,構成管理,リソース管理,サービスデスク
IT資産の構成要素を把握し、例外使用をしないように管理する,H21H040,構成管理,リソース管理,サービスデスク,インシデント管理
ソフトウェア、ハードウェアからなるITサービスの実装変更を確実に実施する,H21H040,リソース管理,サービスデスク,インシデント管理,構成管理
利用者に対する唯一の窓口としてどのような問い合わせにも対応することによってサービスを確実に提供する,H21H040,サービスデスク,インシデント管理,構成管理,リソース管理
ソフトウェアの持つ機能の数を基に、その規模を見積もる手法,H21H041,ファンクションポイント法,ステップ数見積もり法,3点見積もり法,COCOMO
プログラムの行数やファイルサイズなどを基に、ソフトウェアの規模を見積もる手法,H21H041,ステップ数見積もり法,3点見積もり法,COCOMO,ファンクションポイント法
見積もり担当者の経験から楽観値や悲観値を割り出してソフトウェアの規模を見積もる方法,H21H041,3点見積もり法,COCOMO,ファンクションポイント法,ステップ数見積もり法
予想されるプログラム行数にエンジニアの能力や要求の信頼性などの補正計数を掛け合わせて開発工数や期間、要因や生産性を見積もる手法,H21H041,COCOMO,ファンクションポイント法,ステップ数見積もり法,3点見積もり法
入力と出力だけに着目して様々な入力に対して仕様書どおりの出力が得られるかどうかを確認していく、システムの内部構造とは無関係に外部から見た機能について検証するテスト方法,H21H042,ブラックボックステスト,運用テスト,結合テスト,ホワイトテスト
組織体の情報システムを独立した上で専門的な立場で検証又は評価する,H21H044,システム監査人,MSP,CIO,SIre
企業などが保有する情報システムの運用・監視・保守を請け負う,H21H044,MSP,CIO,SIre,システム監査人
企業において、経営理念に合わせて情報化戦略を立案・実行する。,H21H044,CIO,SIre,システム監査人,MSP
情報システムの構築・導入を一括して請け負う,H21H044,SIre,システム監査人,MSP,CIO
プログラム言語の文法に従って処理手順などを記述し、その処理手順などに誤りがないか検証する,H21H049,プログラミング,ソフトウェア結合テスト,内部設計でのモジュール分割,プログラム設計
個々のプログラムを結合し、ソフトウェアが要求どおり動作するかを検証する,H21H049,ソフトウェア結合テスト,内部設計でのモジュール分割,プログラム設計,プログラミング
ソフトウェアを階層構造に基づいて機能分割する,H21H049,内部設計でのモジュール分割,プログラム設計,プログラミング,ソフトウェア結合テスト
プログラムの処理手順を図式化する,H21H049,プログラム設計,プログラミング,ソフトウェア結合テスト,内部設計でのモジュール分割
時間を横軸にし、タスクを縦軸に取って所要期間に比例した長さで表した工程管理図,H21H050,ガントチャート,E-R図,アローダイアグラム,状態遷移図
企業が競争優位性を構築するために、IT戦略の策定・実行をガイドし、あるべき方向へ導く組織能力,H21H052,ITガバナンス,ITIL,RFP,SLA
ITサービスの管理・運用規則に関するベストプラクティス（優れた事例)を、包括的にまとめたフレームワーク,H21H052,ITIL,RFP,SLA,ITガバナンス
企業が情報システムやITサービスなどを調達する際、発注先となるITベンダに具体的なシステム提案を要求した仕様書,H21H052,RFP,SLA,ITガバナンス,ITIL
サービスを提供するプロバイダが、品質を保証するため、提供するサービスの水準を明確に定義した合意書,H21H052,SLA,ITガバナンス,ITIL,RFP
一定の使用期間の間は無料で利用することができるが、継続して利用するには料金を支払う必要がある,H21H055,シェアウエア,,,
IPアドレスを利用してパケット転送の経路を選択する,H21H056,ルータ,DNS,A/D変換器,サーバ
IPアドレスとドメイン名を対応づける,H21H056,DNS,A/D変換器,サーバ,ルータ
アナログ信号とディジタル信号を相互に変換する,H21H056,A/D変換器,サーバ,ルータ,DNS
ほかのコンピュータから要求を受けて、処理の実行やデータの提供を行う,H21H056,サーバ,ルータ,DNS,A/D変換器
アプリケーションプログラムからデータの検索や更新の要求を受け付けて、データベース内のデータの検索や更新をする,H21H058,データベース管理システム,アプリケーションサーバー,データベースサーバー,-
クライアントからトランザクション処理要求を受け付けて、要求に対応するアプリケーションプログラムを起動する,H21H058,アプリケーションサーバー,データベースサーバー,データベース管理システム,-
トランザクション処理要求によって、必要に応じてデータの検索や更新の要求を出して業務処理をする,H21H058,データベースサーバー,データベース管理システム,アプリケーションサーバー,-
インターネットに接続された機器のホスト名とIPアドレスを対応させるシステム,H21H059,DNS,,,
ブラウザなどのアプリケーションソフトウェアに組み込むことによって、アプリケーションソフトウェアの機能を拡張し、個別にバージョンアップが可能で、不要になればアプリケーションソフトウェアに影響与えることなく削除できる,H21H060,プラグイン,,,
個人の指紋や虹彩などの特徴に基づく認証,H21H063,バイオメトリクス認証,,,
故障や操作ミスが発生しても、安全が保てるようにしておく,H21H065,フェールセーフ,フェールソフト,ファイアウォール,フールプルーフ
障害が発生した際に、正常な部分だけを動作させ、全体に支障を来さないようにする,H21H065,フェールソフト,ファイアウォール,フールプルーフ,フェールセーフ
組織内のコンピュータネットワークに外部から侵入されるのを防ぐ,H21H065,ファイアウォール,フールプルーフ,フェールセーフ,フェールソフト
特定の条件に合致するデータだけをシステムに受け入れる,H21H065,フールプルーフ,フェールセーフ,フェールソフト,ファイアウォール
主記憶とのアクセス時間を見かけ上短縮することによって、CPUの処理効率を高める,H21H069,キャッシュメモリ,,,
複数のコンピュータを連携させ、全体を1台の高性能のコンピュータであるかのように利用する。連携しているコンピュータのどれかに障害が発生した場合には、他のコンピュータに処理を肩代わりさせることで、システム全体として処理を停止させないようにするもの,H21H073,クラスタシステム,デュアルシステム,デュプレックスシステム,マルチプロセッサシステム
インターネットからの不正アクセスを防ぐことを目的として、インターネットと内部ネットワークの間に設置する仕組み,H21H074,ファイアウォール,DNSサーバ,WAN,ルータ
音声データのためのファイル圧縮形式,H21H078,MP3,MMR,PNG,MPEG
G4ファクシミリ通信データのためのファイル圧縮形式,H21H078,MMR,PNG,MPEG,MP3
カラー画像データのためのファイル圧縮形式,H21H078,PNG,MPEG,MP3,MMR
ディジタル画像データのためのファイル圧縮形式,H21H078,MPEG,MP3,MMR,PNG
従来のサーバが個別に備える電源装置や外部インターフェースなどをサーバ間で共有し、高密度化、省スペース化を実現したサーバシステム,H21H079,ブレード型サーバ,,,
ワープロソフトや表計算ソフトのデータファイルに感染する,H21H080,マクロウイルス,スパイウェア,アドウェア,ワーム
ネットワークを介して、他人のPCを自由に操ったり、パスワードなど重要な情報を盗んだりする,H21H080,スパイウェア,アドウェア,ワーム,マクロウイルス
PC画面上に広告を表示させる,H21H080,アドウェア,ワーム,マクロウイルス,スパイウェア
ネットワークで接続されたコンピュータ間を、自己複製しながら移動する,H21H080,ワーム,マクロウイルス,スパイウェア,アドウェア
データベースの障害回復に用いられ、データベースの更新に関する情報が格納されているファイル,H21H088,ログファイル,インデックスファイル,バックアップファイル,ロードモジュールファイル
情報を縦横2次元の図形パターンに保存するコード,R1A004,QRコード,ASCIIコード,Gコード,JANコード
材料調達から商品販売までの流れを一括管理して、供給の最適化を目指すシステム,R1A005,SCM,ASO,CRM,ERP
行政機関の保有する資料について、情報を請求する権利とその手続きなどについて定めた法律,R1A006,情報公開法,公益通報者保護法,個人情報保護法,不正アクセス禁止法
顧客、競合、自社の三つの観点から分析する,R1A007,3C分析,RFM,コーホート,ABC分析
最新購買日、購買頻度、購買金額の三つの観点から分析する,R1A007,RFM,コーホート,ABC分析,3C分析
時代、年齢、世代の三つの要因に分解して分析する,R1A007,コーホート,ABC分析,3C分析,RFM
総売上高の高い順に三つのグループに分類して計算する,R1A007,ABC分析,3C分析,RFM,コーホート
人口減少や高齢化などを背景に、ICTを活用して、都市や地域の機能やサービスを効率化し、高度化し、地域課題の解決や活性化を実現することが試みられているソリューション,R1A008,スマートシティ,キャパシティ,ダイバーシティ,ユニバーシティ
2社以上の企業が共同出資して経営する企業のこと,R1A010,ジョイントベンチャ,,,
企業の合併や買収によって相手企業の支配権を取得すること,R1A010,M&A,,,
情報システム戦略において定義した目標の達成状況を測定するために、重要な業績評価を示す用語,R1A011,KPI,BPO,CSR,ROA
企業の存在理由や価値観を明確にすることができる,R1A012,経営理念,,,
センサを搭載した機器や制御装置などがインターネット常に繋がり、それらがネットワークを通じて様々な情報のやり取りをする仕組み,R1A013,IoT,機械学習,API,RPA
人工知能における学習の仕組み,R1A013,機械学習,API,RPA,IoT
ソフトウェアの機能の一部を、ほかのプログラムで利用できるように公開する関数や手続の集まり,R1A013,API,RPA,IoT,機械学習
ソフトウェアのロボットを利用して、定型的な仕事を効率化するツール,R1A013,RPA,IoT,機械学習,API
建築物、工業製品などの設計にコンピュータを用いること,R1A014,CAD,A／D変換,CMOS,オーサリング
アナログ信号をディジタル信号に変換する回路のこと,R1A014,A／D変換,CMOS,オーサリング,CAD
光を電気信号に変換する撮像素子のこと,R1A014,CMOS,オーサリング,CAD,A／D変換
文字、画像、音声などのデータを組み合わせて一つのコンテンツを作ること,R1A014,オーサリング,CAD,A／D変換,CMOS
自社の商品やサービスの情報を主体的に収集する見込み客の獲得を目的に、企業がSNSやブログ、検索エンジンなどを利用して消費にゃサービスに関連する情報を発信する。このようにして獲得した見込み客を、最終的に顧客に転換させることを目的とするマーケティング手法,R1A015,インバンドマーケティング,アウトバウンドマーケティング,ダイレクトマーケティング,テレマーケティング
ベンダ企業から情報収集を行い、システムの技術的な課題や実現性を把握する,R1A016,RFI,RFQ,共通フレーム,RFP
ベンダ企業からシステムの詳細な見積もり金額を入手し、契約金額を確定する,R1A016,RFQ,共通フレーム,RFP,RFI
ベンダ企業との認識のズレをなくし、取引を適正化する,R1A016,共通フレーム,RFP,RFI,RFQ
ベンダ企業に提案書の提出を求め、発注先を決定する,R1A016,RFP,RFI,RFQ,共通フレーム
優良な大企業が、革新的な技術の追求よりも、既存技術の向上でシェアを確保することに注力してしまい、結果的に市場でのシェアの確保に失敗する現象,R1A017,イノベーションのジレンマ,限界効用逓減の法則,カニバリゼーション,パレートの法則
最初に商品を消費したときに感じた価値や満足度が、消費する量が増えるに従い、徐々に低下していく現象,R1A017,限界効用逓減の法則,カニバリゼーション,パレートの法則,イノベーションのジレンマ
自社の既存商品がフェアを占めている市場に、自社の新商品を導入することで、既存製品のシェアを奪ってしまう現象,R1A017,カニバリゼーション,パレートの法則,イノベーションのジレンマ,限界効用逓減の法則
全売上の大部分を、少数の顧客が占めている状況,R1A017,パレートの法則,イノベーションのジレンマ,限界効用逓減の法則,カニバリゼーション
銀行などの預金者の資産を、AIが自動的に運用するサービスを提供するなど、金融業においてIT技術を活用して、これまでにない革新的なサービスを開拓する取り組み,R1A018,FinTech,FA,OA,シェアリングエコノミー
特定の目的の達成や課題の解決をテーマとして、ソフトウェアの開発者や企画者などが短期集中的にアイディアを出し合い、ソフトウェアの開発などの共同作業を行い、成果を競い合うイベント,R1A019,ハッカソン,コンベンション,トレードフェア,レセプション
事業活動における重要な技術情報について、営業秘密とするための要件を定めている法律,R1A020,不正競争防止法,,,
大量のデータを人間の脳神経回路を模したモデルで解析することによって、コンピュータ自体がデータの特徴を抽出、学習する方法,R1A021,ディープラーニング,CRMシステム,e-ラーニング,ナレッジマネジメント
営業、マーケティング、アフタサービスなどの顧客に関わる部門間で情報や業務の流れを統合する仕組み,R1A021,CRMシステム,e-ラーニング,ナレッジマネジメント,ディープラーニング
コンピュータなどのディジタル機器、通信ネットワークを利用して実施される教育、学習、研修の形態,R1A021,e-ラーニング,ナレッジマネジメント,ディープラーニング,CRMシステム
組織内の各個人がもつ知識やノウハウを組織全体で共有し、有効活用する仕組み,R1A021,ナレッジマネジメント,ディープラーニング,CRMシステム,e-ラーニング
運転手が関与せずに、自動車の加速、操縦、制御の全てをシステムが行う技術,R1A022,人工知能,IoT,ブロックチェーン,インターネットバンキング
オフィスの自席にいながら、会議室やトイレの空き状況がリアルタイムに分かる技術,R1A022,IoT,ブロックチェーン,インターネットバンキング,人工知能
銀行のような中央管理者を置かなくても、分散型の合意形成によって、取引の承認を行う,R1A022,ブロックチェーン,インターネットバンキング,人工知能,IoT
自宅のPCから事前に入力し、銀行に行かなくても自動で振替や振込を行う,R1A022,インターネットバンキング,人工知能,IoT,ブロックチェーン
統計学や機械学習などの手法を用いて大量のデータを解析して、新たなサービスや価値を生み出すためのヒントやアイディアを抽出する役割,R1A023,データサイエンティスト,ITストラテジスト,システムアーキテクト,システムアナリスト
経営戦略上、ITの利活用が不可欠な企業の経営者を対象として、サイバー攻撃から起業を守る観点で経営者が認識すべき原則や取り組むべき項目を記載したもの,R1A025,サイバーセキュリティ経営ガイドライン,,,
利用者が検索エンジンを使ってキーワード検索を行ったときに、自社のWebサイトを検索結果の上位に表示させるよう工夫する,R1A029,SEO,SMO,アクセスログ分析,
SNSに立ち上がったコミュニティの参加者に、そのコミュニティの目的にあった検索結果を表示する,R1A029,SMO,アクセスログ分析,SEO,
自社のWebサイトのアクセスログを検索エンジンを使って解析し、不正アクセスの有無をチェックする,R1A029,アクセスログ分析,SEO,SMO,
アプローチの中心は常に製品やサービスの利用者であり、利用者の本質的なニーズに基づき、製品やサービスをデザインする,R1A030,デザイン思考,CSS,BPR,オブジェクト指向
Webページのレイアウトなどを定義したスタイルシートを使用し、ホームページをデザインする,R1A030,CSS,BPR,オブジェクト指向,デザイン思考
業務の迅速化や効率化を図ることを目的に、業務プロセスを抜本的に再デザインする,R1A030,BPR,オブジェクト指向,デザイン思考,CSS
データと手続を備えたオブジェクトの集まりとして捉え、情報システム全体をデザインする,R1A030,オブジェクト指向,デザイン思考,CSS,BPR
OMG(Object Managemnent Group)によって維持されており、国際規格ISO/IEC19510として標準化されているビジネスプロセスのモデリング手法および表記法,R5023,BPMN,BABOK,BPQ,BPR
企業の未公開の株式を、可惜に公開することを表す用語,R5028,IPO,LBO,TOB,VC
アクセスポイントへの接続を認証するときに用いる符号（バスフレーズ）であり、この符号に基づいて、接続するPCごとに通信の暗号化に用いる鍵が生成される,R5065,PSK,,,
ネットワークなどに対する不正アクセスやその予兆を検知し、管理者に通知する,R5067,IDS,DNS,NTP,POP
IPアドレスとドメイン名を相互に変換する,R5067,DNS,NTP,POP,IDS
ネットワーク上の複数のコンピュータの時刻を同期させる,R5067,NTP,POP,IDS,DNS
メールサーバーに届いた電子メールを、メールクライアントに送る,R5067,POP,IDS,DNS,NTP
IoTエリアネットワークでも用いられ、電気を供給する電力線に高周波の通信用信号を乗せて伝送させることによって、電力線を伝送路としても使用する技術,R5087,PLC,PoE,エネルギーハーベスティング,テザリング
読み出し専用のDVD,R5088,DVD-ROM,DVD-R,DVD-RAM,DVD-RW
二つの表から、フィールドの値によっって関連付けした表を作る,R5100,結合操作,選択操作,射影操作,共通演算
表から、特定の条件を満たすレコードを抜き出した表を作る,R5100,選択操作,射影操作,共通演算,結合操作
表から、特定のフィールドを抜き出した表を作る,R5100,射影操作,共通演算,結合操作,選択操作
二つの表から、フィールドの値によって関連付けした表を作る,R5100,共通演算,結合操作,選択操作,射影操作
システムの開発や保守の各工程の作業項目,R1A039,共通フレーム,,,
成果物と作業の一覧およびプロジェクトからの除外事項を記述している,R1A051,プロジェクトスコープ記述書,スケジュールマネジメント計画書,コストマネジメント計画書,人的資源マネジメント計画書
成果物を作るための各作業の開始予定日と終了予定日を記述している,R1A051,スケジュールマネジメント計画書,コストマネジメント計画書,人的資源マネジメント計画書,プロジェクトスコープ記述書
プロジェクトが完了するまでのコスト見積もりを記述している,R1A051,コストマネジメント計画書,人的資源マネジメント計画書,プロジェクトスコープ記述書,スケジュールマネジメント計画書
プロジェクトにおける役割、責任、必要なスキルを特定して記述している,R1A051,人的資源マネジメント計画書,プロジェクトスコープ記述書,スケジュールマネジメント計画書,コストマネジメント計画書
キャッシュメモリに使用,R1A060,SRAM,DRAM,-,-
主記憶に使用,R1A060,DRAM,SRAM,-,-
